asset_name,scope,source_status,category,game_id,head_name,propulsion_class,cargo_capacity_t,fuel_capacity_t,dry_mass_t,thrust,thrust_per_dry_mass,exhaust_velocity,available_delta_v,maximum_acceleration,continuous_burn_capable,min_flight_time_hoh_rel,max_flight_time_hoh_rel,continuous_burn_dv_multiplier,continuous_burn_distance_max,not_use_porkchop,solar_parameter,build_days,maintenance_per_day,reusability,fuel_to_cargo,engine_component_name,engine_component_path_id,engine_fuel_type_id,engine_fuel_type_name,engine_fuel_type_source,engine_fuel_type_confidence,capex_asset_base,capex_workbook_base,capex_delta_asset_minus_workbook,capex_per_cargo_asset,capex_per_cargo_workbook,fuel_free,solar_sc,orbit_only,build_only_low_orbit,after_build_teleport_lo,orbit_built,construction_mode,surface_capable,can_build_by_user,build_mass_asset_t,build_mass_workbook_t,effective_build_mass_t,research_id,net_base_research_days,direct_base_research_days,research_status,notes,description,capex_asset_parts,capex_workbook_parts
Talos,core_guide,asset_and_workbook,Spacecraft,spacecraft_sail_mid,spacecraft_sail_mid,sail,120.0,1000.0,1.0,1050000.0,1050000.0,3.700000047683716,100.0,100.0,False,0.10000000149011612,1.399999976158142,4.0,1.2000000476837158,False,10.0,120.0,10.0,1.0,8.333333333333334,eng_solar,6790,,,,,18000.0,600000.0,-582000.0,150.0,5000.0,True,True,True,False,False,True,orbit-built,False,True,90.0,300.0,90.0,research_sails_2,2920.0,1250.0,mapped,fuel-free; solar-limited; orbit-built; orbit-only,Improved solar sail with higher capacity.,Metals:90,alloys:50; polymer:250
Zephyr,core_guide,asset_and_workbook,Spacecraft,spacecraft_sail_long,spacecraft_sail_long,sail,80.0,1000.0,1.0,1050000.0,1050000.0,3.700000047683716,100.0,100.0,False,0.10000000149011612,1.399999976158142,4.0,1.2000000476837158,False,9999.0,120.0,10.0,1.0,12.5,eng_solar,6790,,,,,18000.0,241250.0,-223250.0,225.0,3015.625,True,True,True,False,False,True,orbit-built,False,True,90.0,225.0,90.0,research_sails_4,8020.0,2000.0,mapped,fuel-free; solar-limited; orbit-built; orbit-only,"Plasma Magnet Sail, unlimited by distance or fuel. It can travel anywhere, given enough time.",Metals:90,electronics:25; rare_metals:200
Nike,core_guide,asset_and_workbook,Spacecraft,spacecraft_fusion_small,Spacecraft12Nike,fusion,150.0,5000.0,100.0,360000.0,3600.0,20.0,500.0,100.0,True,0.03999999910593033,1.100000023841858,4.0,1.2000000476837158,False,10.0,180.0,10.0,1.0,33.333333333333336,eng_fusionnike,6780,id_resource_hydrogen,Hydrogen,Direct engine component fuelType from serialized hull reference,high,1152500.0,1892500.0,-740000.0,7683.333333333333,12616.666666666666,False,False,True,False,False,True,orbit-built,False,True,500.0,500.0,500.0,research_sc_nike,11620.0,2700.0,mapped,continuous-burn; orbit-built; orbit-only,"First generation fusion spacecraft, with efficiency unmatched by previous designs.",Steel:300; Alloys:100; Electronics:50; Helium-3:50,alloys:300; electronics:50; exotic_alloys:100; helium_3:50
Sirius,core_guide,asset_and_workbook,Spacecraft,spacecraft_fusion_mid,Spacecraft13Sirius,fusion,150.0,500.0,50.0,350000.0,7000.0,20.0,100.0,100.0,True,0.03999999910593033,1.100000023841858,4.0,1.2000000476837158,False,10.0,150.0,10.0,1.0,3.3333333333333335,eng_fusionsirius,6781,id_resource_hydrogen,Hydrogen,Direct engine component fuelType from serialized hull reference,high,3102500.0,2362500.0,740000.0,20683.333333333332,15750.0,False,False,True,False,False,True,orbit-built,False,True,800.0,800.0,800.0,research_sc_sirius,20720.0,3400.0,mapped,continuous-burn; orbit-built; orbit-only,Advanced fusion spacecraft.,Alloys:200; Polymer:400; Electronics:50; Helium-3:150,electronics:50; exotic_alloys:200; helium_3:150; polymer:400
Zeus,core_guide,asset_and_workbook,Spacecraft,spacecraft_fusion_large,Spacecraft14Zeus,fusion,150.0,500.0,50.0,350000.0,7000.0,20.0,100.0,100.0,True,0.03999999910593033,1.100000023841858,4.0,1.2000000476837158,False,10.0,150.0,10.0,1.0,3.3333333333333335,eng_fusionzeus,6782,id_resource_hydrogen,Hydrogen,Direct engine component fuelType from serialized hull reference,high,7125000.0,5275000.0,1850000.0,47500.0,35166.666666666664,False,False,True,False,False,True,orbit-built,False,True,1500.0,1500.0,1500.0,research_sc_zeus,27920.0,3800.0,mapped,continuous-burn; orbit-built; orbit-only,"Operating at the limits of theoretical performance of fusion spacecraft, the Zeus can fly farther and faster than any other.",Alloys:500; Polymer:500; Electronics:100; Helium-3:400,electronics:100; exotic_alloys:500; helium_3:400; polymer:500
Atlas,mapping_gap,workbook_only,Spacecraft,spacecraft_asteroid_puller,,asteroid,,,,,,,,,False,,,,,False,,,,,,,,,,,,0.0,21950000.0,,,,False,False,False,False,False,False,unknown,False,False,,5700.0,5700.0,research_sc_atlas,27920.0,3800.0,mapped,workbook-only,Enormous spacecraft able to move entire asteroids.,,alloys:4000; electronics:200; exotic_alloys:1000; helium_3:500
Centaur,support_only,asset_only,SpacecraftType,spacecraft_chem_mid,Spacecraft5Centaur,chemical,10.0,165.0,25.0,300000.0,12000.0,8.25,100.0,100.0,False,0.05000000074505806,1.399999976158142,4.0,1.2000000476837158,False,10.0,150.0,10.0,0.0,16.5,,,,,,,0.0,0.0,,0.0,,False,False,False,False,False,False,surface-built,False,False,,,,,,,needs_mapping,single-use; asset-only; unlock mapping needed,Centaur,,
Electromagnetic Catapult,special_facility_spacecraft,asset_only,SpacecraftType,SpacecraftFakemagnetic_catapult,SpacecraftFakemagnetic_catapult,sail,0.0,0.0,50.0,350000.0,7000.0,20.0,100.0,100.0,False,0.03999999910593033,1.100000023841858,4.0,1.2000000476837158,False,10000.0,150.0,10.0,1.0,,eng_fusionzeus,6782,id_resource_hydrogen,Hydrogen,Direct engine component fuelType from serialized hull reference,high,7125000.0,0.0,,,,True,True,False,False,False,False,surface-built,False,False,1500.0,,1500.0,,,,needs_mapping,fuel-free; solar-limited; asset-only; unlock mapping needed,Larger and more powerful mass driver capable of launching payloads on interplanetary trajectories by itself.,Alloys:500; Polymer:500; Electronics:100; Helium-3:400,
IS Drive Assembly,mapping_gap,workbook_only,Spacecraft,,,,,,,,,,,,False,,,,,False,,,,,,,,,,,,0.0,0.0,,,,False,False,False,False,False,False,unknown,False,False,,,,,,,needs_mapping,workbook-only; unlock mapping needed,,,
IS Habitat Segment,mapping_gap,workbook_only,Spacecraft,,,,,,,,,,,,False,,,,,False,,,,,,,,,,,,0.0,0.0,,,,False,False,False,False,False,False,unknown,False,False,,,,,,,needs_mapping,workbook-only; unlock mapping needed,,,
IS Main Structure,mapping_gap,workbook_only,Spacecraft,,,,,,,,,,,,False,,,,,False,,,,,,,,,,,,0.0,0.0,,,,False,False,False,False,False,False,unknown,False,False,,,,,,,needs_mapping,workbook-only; unlock mapping needed,,,
IS Prepare Habitats,mapping_gap,workbook_only,Spacecraft,,,,,,,,,,,,False,,,,,False,,,,,,,,,,,,0.0,0.0,,,,False,False,False,False,False,False,unknown,False,False,,,,,,,needs_mapping,workbook-only; unlock mapping needed,,,
Orbital Payload Container,special_support_spacecraft,asset_only,SpacecraftType,spacecraft_capsule,Spacecraft6Container,special,999999.0,0.0,0.0,0.0,,0.0,100.0,100.0,False,0.10000000149011612,1.5,4.0,1.2000000476837158,False,10.0,0.0,0.0,1.0,0.0,eng_placeholdercontainer,6789,id_resource_fuel,Fuel,Direct engine component fuelType from serialized hull reference,high,0.0,0.0,,0.0,,True,False,False,False,False,False,surface-built,False,False,,,,,,,needs_mapping,fuel-free; asset-only; unlock mapping needed,Container for cargo deployed to orbit.,,
Spacecraft_build_asteroid_engine_facility,special_facility_spacecraft,asset_only,SpacecraftType,Spacecraft_build_asteroid_engine_facility,Spacecraft_build_asteroid_engine_facility,asteroid,150.0,500.0,50.0,350000.0,7000.0,600.0,100.0,100.0,False,0.03999999910593033,1.100000023841858,4.0,1.2000000476837158,False,10.0,150.0,0.0,1.0,3.3333333333333335,eng_mass,6783,,,,,472500.0,0.0,,3150.0,,False,False,True,False,False,True,orbit-built,False,False,150.0,,150.0,,,,needs_mapping,orbit-built; orbit-only; asset-only; unlock mapping needed,,Alloys:100; Fissiles:40; Electronics:10,
Spacecraft_build_asteroid_engine_facilityModule,special_facility_spacecraft,asset_only,SpacecraftType,Spacecraft_build_asteroid_engine_facilityModule,Spacecraft_build_asteroid_engine_facilityModule,sail,150.0,500.0,50.0,350000.0,7000.0,600.0,100.0,100.0,False,0.03999999910593033,1.100000023841858,4.0,1.2000000476837158,False,100000000.0,150.0,0.0,1.0,3.3333333333333335,eng_mass,6783,,,,,472500.0,0.0,,3150.0,,True,True,True,False,False,True,orbit-built,False,False,150.0,,150.0,,,,needs_mapping,fuel-free; solar-limited; orbit-built; orbit-only; asset-only; unlock mapping needed,,Alloys:100; Fissiles:40; Electronics:10,
spacecraft_asteroid_puller_ForAsteroidImpact,excluded_cheat,asset_only,SpacecraftType,spacecraft_asteroid_puller_ForAsteroidImpact,spacecraft_asteroid_puller_ForAsteroidImpact,asteroid,999999.0,0.0,0.0,100000000.0,,1000000.0,100.0,100.0,False,0.10000000149011612,1.5,4.0,1.2000000476837158,True,10.0,0.0,0.0,1.0,0.0,,,,,,,0.0,0.0,,0.0,,True,False,False,False,False,False,surface-built,False,False,,,,,,,needs_mapping,fuel-free; asset-only; unlock mapping needed,,,
