buildable_name,category,object_type,game_key,candidate_game_keys,description,capabilities,tags,crew_required,power_value,workbook_row,base_cost_alloys,base_cost_co2,base_cost_carbon,base_cost_consumer_goods,base_cost_electronics,base_cost_exotic_alloys,base_cost_fissiles,base_cost_fuel,base_cost_glass,base_cost_helium_3,base_cost_humans,base_cost_hydrogen,base_cost_metals,base_cost_nitrogen,base_cost_noble_gas,base_cost_oxygen,base_cost_polymer,base_cost_power,base_cost_rare_metals,base_cost_silicon,base_cost_supply,base_cost_water
Interstellar Vehicle Assembly,Production,facility,build_space_interstellarconstruction,build_space_interstellarconstruction,Construction site of a generation ship to travel between the stars.,,,,,40,200.0,,,,,,,,,,,,,,,,,,,,,
Iris,Spacecraft,spacecraft,spacecraft_chem_small,spacecraft_chem_small,"Simple, disposable low-mass craft for delivering probes and modules to distant objects.",,spaceflight,,,41,20.0,,,,,,,,,,,,,,,,,,,,,
L - Crew Compartment,Modules,module,,,,,,100.0,,42,20.0,,,,,,,,,,100.0,,,,,,100.0,,,,,
Launch Pad,Launch Facilities,facility,build_launch_pad,build_launch_pad,"Organized launch infrastructure, reduces launch vehicle launch cost by 10%.",,launch,,,43,,,,,,,,,,,,,125.0,,,,,,,,,
M - Crew Compartment,Modules,module,,,,,,20.0,,44,10.0,,,,,,,,,,20.0,,,,,,20.0,,,,,
Magnetic Launch Rails,Launch Facilities,facility,build_launch_magrails,build_launch_magrails,"Long ramp built atop suitable terrain, outfitted with MagLev tracks to accelerate payloads into space.",,launch,20.0,,45,300.0,,,,200.0,,,,,,20.0,,,,,,,,100.0,,,
Metal Mining Base,Mining,facility,build_metalmine,build_metalmine; build_metalmine_big,Extracts common metal elements and smelts them for use.,"Mines {0} per day, proportional to deposit factors.",extractive,5.0,0.5,46,,,,,,,,,,,5.0,,125.0,,,,,,,,,
Mining Module,Modules,module,module_basemining,module_basemining,"A mobile set of equipment for extracting resources locally, when no infrastructure exists yet.",,,,,47,75.0,,,,,,,,,,,,,,,,,,,,,
Mobile Habitat,Modules,module,module_habitat,module_habitat,"Long-term shelter with integrated power source, can be packed as cargo and deployed immediately to house a crew of 20 without additional infrastructure on a location. Crew within still requires supplies as in any other habitat.",,habitation; power,,,48,120.0,,,,,,,,,,,,,,,,,,,,,
Mobile Refinery,Modules,module,module_fuel,module_fuel,Processes Water into Fuel.,,,,,49,120.0,,,,,,,,,,,,,,,,,,,,,
Nike,Spacecraft,spacecraft,spacecraft_fusion_small,spacecraft_fusion_small,"First generation fusion spacecraft, with efficiency unmatched by previous designs.",,spaceflight,,,50,300.0,,,,50.0,100.0,,,,50.0,,,,,,,,,,,,
Nitrogen Extractor,Mining,facility,build_nitrogenmine,build_nitrogenmine,Extracts Nitrogen from any kind of deposit on the object,,extractive,5.0,0.5,51,,,,,,,,,,,5.0,,125.0,,,,,,,,,
Noble Gas Extractor,Mining,facility,build_noblegasmine,build_noblegasmine; build_noblegasmine_big,"Extracts non-reactive gases such as helium, xenon or argon.","Mines {0} Noble Gas per day, proportional to deposit factors.",extractive,5.0,0.5,52,,,,,,,,,,,5.0,,125.0,,,,,,,,,
Nuclear Reactor,Power,facility,build_power_nuke,build_power_nuke; build_power_nuke_big,Produces power from a controlled chain reaction of fissile elements.,{0} per 180 days -> {1},power; processing,200.0,,53,1300.0,,,,100.0,200.0,,,,,200.0,,,,,,,,,,,
Observatory,Other,facility,build_observatory,build_observatory,Searches distant objects for resources.,,,5.0,,54,40.0,,,,10.0,,,,50.0,,5.0,,,,,,,,,,,
Orbital Construction,Modules,module,build_space_construction,build_space_construction; module_space_construction_cargo,Allows construction of orbital facilities.,,,,,55,100.0,,,,,,,,,,,,,,,,,,,,,
Orbital Fuel Refinery,Production,facility,build_space_fuel,build_space_fuel,Turns Water into Chemical Fuel.,,processing,,,56,,,,,,,,,,,,,10.0,,,,,,30.0,,,
Orbital Gas Extractor,Mining,facility,build_space_atmoscoop,build_space_atmoscoop,Extracts gases from planetary atmosphere. Can also extract gases from gas giants.,,extractive,,,57,150.0,,,,10.0,,,,,,,,,,,,20.0,,,,,
Orbital Magnetosphere Generator,Terraformation,facility,build_terraform_space_magnet,build_terraform_space_magnet,Decreases radiation on the object's surface.,,terraforming,,,58,30000.0,,,,,,,,,,,,,,,,,,,,,
Orbital Mirror,Terraformation,facility,build_terraform_space_mirror,build_terraform_space_mirror,Increases the temperature on the object it's aimed at,,terraforming,,,59,1000.0,,,,,,,,27000.0,,,,,,,,2000.0,,,,,
Orbital Power Receiver,Power,facility,build_power_receiver_orbit,build_power_receiver_orbit,Receives power in orbit.,,power,,,60,50.0,,,,,,,,130.0,,,,,,,,,,20.0,,,
Orbital Power Station,Power,facility,build_power_transfer_orbit,build_power_transfer_orbit,Generates power in orbit and transfers it to receivers.,,power,,,61,30.0,,,,,,,,120.0,,,,,,,,,,,,,
Orbital Shade,Terraformation,facility,build_terraform_space_shade,build_terraform_space_shade,Decreases the temperature on the object it's orbiting,,terraforming,,,62,13000.0,,,,,1000.0,,,,,,,,,,,6000.0,,,,,
Orbital Shipyard,Production,facility,build_space_drydock,build_space_drydock,Allows construction of advanced spacecraft in orbit.,,,,,63,150.0,,,,25.0,,,,,,,,,,,,50.0,,,,,
Outpost,Habitation,facility,build_outpost,build_outpost,"A self-sufficient outpost for remote places. Allows a crew of 10 to operate in rough conditions without support, but is impractical to expand into a colony.",,,,,64,,,,,,,,,,,,,40.0,,,,,,,,10.0,
Oxygen Extractor,Mining,facility,build_oxygenmine,build_oxygenmine,Extracts Oxygen from any kind of deposit on the object,,extractive,5.0,0.5,65,,,,,,,,,,,5.0,,125.0,,,,,,,,,
Planetary Magnetosphere Generator,Terraformation,facility,build_terraform_magnet,build_terraform_magnet,Decreases radiation on the object's surface.,,terraforming,,,66,,,,,,,,,,,,,36000.0,,,,,,,,,
Polymers Extractor,Mining,facility,build_plasticmine,build_plasticmine,Extracts Polymers from any kind of deposit on the object,,extractive,5.0,0.5,67,,,,,,,,,,,5.0,,125.0,,,,,,,,,
Polymers Production,Production,facility,build_polymerproduction,build_polymerproduction,Produces Polymers from Carbon.,{0} -> {1} per day,processing,20.0,,68,200.0,,,,,,,,,,20.0,,,,,,,,,,,
Probe,Modules,module,module_space_probe,module_space_probe,Searches for resources on an object where it is located.,,,,,69,5.0,,,,1.0,,,,,,,,,,,,,,,,,
Prometheus,Spacecraft,spacecraft,spacecraft_nuke_small,spacecraft_nuke_small,"First true nuclear rocket, more than double the efficiency of chemical rockets while still maintaining high thrust.",,spaceflight,,,70,100.0,,,,,,50.0,,,,,,,,,,,,30.0,,,
Radioisotope Generator,Modules,module,module_power,module_power,"Produces constant power from radioactive decay, without requiring input or maintenance",,power; processing,,,71,,,,,,,,,,,,,,,,,,,,,,
Rare Metal Extractors,Mining,facility,build_raremine,build_raremine; build_raremine_big,"Extracts rare metallic elements such as tungsten, gold, or iridium.","Mines {0} per day, proportional to deposit factors.",extractive,5.0,0.5,72,,,,,,,,,,,5.0,,125.0,,,,,,,,,
Remote Power Emitter,Power,facility,build_power_transfer,build_power_transfer,Transfers power from surface to orbit.,,power,,,73,150.0,,,,20.0,80.0,,,100.0,,,,,,,,,,,,,
Remote Power Receiver,Power,facility,build_power_receiver,build_power_receiver,A large complex of rectennas and panels that receive remotely transferred power from orbits or other objects.,,power,,,74,50.0,,,,,,,,130.0,,,,,,,,,,20.0,,,
Research Laboratory,Other,facility,build_lab,build_lab,Boosts research speed by 3%.,,research,20.0,,75,100.0,,,,10.0,,,,10.0,,20.0,,,,,,,,10.0,,,
Rotary Launcher,Launch Facilities,facility,build_launch_spin,build_launch_spin,Launches payloads by utilizing extremely high rotary acceleration.,,launch,20.0,,76,300.0,,,,20.0,,,,,,20.0,,,,,,,,,,,
Rotating Habitat,Habitation,facility,build_space_0gcolony,build_space_0gcolony,"In absence of gravity, the habitat spins to compensate with centrifugal force. While providing a comfortable illusion of 1g, it requires much larger and complicated construction.",,habitation,,,77,,,,,,,,,,,,,200.0,,,,,,50.0,,20.0,
Rotating Station,Habitation,facility,build_space_0gdome,build_space_0gdome,"A rotating wheel style station with room for habitation, work, and all aspects of deep space life.",,habitation,,,78,,,,,,,,,200.0,,,,400.0,,,,,,100.0,,40.0,
S - Crew Compartment,Modules,module,,,,,,5.0,,79,5.0,,,,,,,,,,5.0,,20.0,,,,,,,,,
Selene,Spacecraft,spacecraft,spacecraft_chem_mid2,spacecraft_chem_mid2,Light craft with an electric engine for moving probes and small cargo to distant objects.,,spaceflight,,,80,30.0,,,,5.0,,,,,,,,,,,,,,,,,
Silicon Mine,Mining,facility,build_siliconmine,build_siliconmine; build_siliconmine_big,Extracts silicon from regolith.,"Mines {0} Silicon per day, proportional to deposit factors.",extractive,5.0,0.5,81,,,,,,,,,,,5.0,,125.0,,,,,,,,,
Sirius,Spacecraft,spacecraft,spacecraft_fusion_mid,spacecraft_fusion_mid,Advanced fusion spacecraft.,,spaceflight,,,82,,,,,50.0,200.0,,,,150.0,,,,,,,400.0,,,,,
Solar Array,Power,facility,build_power_solar,build_power_solar; build_power_solar_big,Produces power from solar radiation. Power production depends on distance from the Sun,,power; processing,2.0,,83,10.0,,,,,,,,50.0,,2.0,,,,,,,,,,,
Space Elevator,Launch Facilities,facility,build_launch_elevator,build_launch_elevator,"""A supermaterial cable stretching from the surface to geostationary orbit. Allows reaching space just by riding an elevator up the cable.",,launch,,,84,40000.0,,,,,10000.0,,,,,,,,,,,100000.0,,,,,
Stationary Mass Driver,Launch Facilities,facility,build_launch_massdriver,build_launch_massdriver,"Set of superconducting electromagnetic accelerators, able to launch payloads directly into orbit.",,launch,,,85,300.0,,,,40.0,,,,,,,,,,,,,,50.0,,,
Steel Extractor,Mining,facility,build_steelmine,build_steelmine,Extracts Steel from any kind of deposit on the object,,extractive,5.0,0.5,86,,,,,,,,,,,5.0,,125.0,,,,,,,,,
Stratos,Spacecraft,spacecraft,spacecraft_chem_large,spacecraft_chem_large,"Reusable upper stage, capable of taking off from other planets.",,spaceflight,,,87,120.0,,,,,,,,,,,,,,,,20.0,,20.0,,,
Talos,Spacecraft,spacecraft,spacecraft_sail_mid,spacecraft_sail_mid,Improved solar sail with higher capacity.,,spaceflight,,,88,50.0,,,,,,,,,,,,,,,,250.0,,,,,
Telescope,Modules,module,build_space_telescope,build_space_telescope,Searches distant objects for resources.,,,,,89,10.0,,,,,,,,,,,,,,,,,,,,,
Underground Habitat,Habitation,facility,build_habitatunder,build_habitatunder,"Underground structures, built in lava tubes and dug out cavities, are naturally sheltered from radiation and easier to construct, if limited in size.",,,,,90,,,,,,,,,,,,,20.0,,,,,,,,20.0,
Vehicle Assembly,Production,facility,build_veh_assembly,build_veh_assembly,Allows construction of spacecraft and launch vehicles on the surface.,,launch,10.0,,91,200.0,,,,,,,,,,10.0,,,,,,,,50.0,,,
Water Ice Extractor,Mining,facility,build_icemine,build_icemine; build_icemine_big,Extracts ice and hydrated minerals and refines them into water.,"Mines {0} per day, proportional to deposit factors.",extractive,5.0,0.5,92,,,,,,,,,,,5.0,,125.0,,,,,,,,,
Wind Power,Power,facility,build_power_wind,build_power_wind; build_power_wind_big,Produces power from atmospheric movements.,,power; processing,2.0,,93,80.0,,,,,,,,,,2.0,,,,,,,,,,,
Zephyr,Spacecraft,spacecraft,spacecraft_sail_long,spacecraft_sail_long,"Plasma Magnet Sail, unlimited by distance or fuel. It can travel anywhere, given enough time.",,spaceflight,,,94,,,,,25.0,,,,,,,,,,,,,,200.0,,,
Zeus,Spacecraft,spacecraft,spacecraft_fusion_large,spacecraft_fusion_large,"Operating at the limits of theoretical performance of fusion spacecraft, the Zeus can fly farther and faster than any other.",,spaceflight,,,95,,,,,100.0,500.0,,,,400.0,,,,,,,500.0,,,,,
IS Main Structure,Spacecraft,spacecraft,,,,,spaceflight,,,96,,,,,,,,,,,,,,,,,,,,,,
IS Drive Assembly,Spacecraft,spacecraft,,,,,spaceflight,,,97,,,,,,,,,,,,,,,,,,,,,,
IS Habitat Segment,Spacecraft,spacecraft,,,,,spaceflight,,,98,,,,,,,,,,,,,,,,,,,,,,
IS Prepare Habitats,Spacecraft,spacecraft,,,,,spaceflight,,,99,,,,,,,,,,,,,,,,,,,,,,
